CustomerID,First_Name,Last_Name,Phone_Number,Address,Paying Customer,Do_Not_Contact,Not_Useful_Column,,
1001,Frodo,Baggins,123-545-5421,"123 Shire Lane, Shire",Yes,No,TRUE,,
1002,Abed,Nadir,123/643/9775,93 West Main Street,No,Yes,FALSE,,
1003,Walter,/White,7066950392,298 Drugs Driveway,N,,TRUE,,
1004,Dwight,Schrute,123-543-2345,"980 Paper Avenue, Pennsylvania, 18503",Yes,Y,TRUE,,
1005,Jon,Snow,876|678|3469,123 Dragons Road,Y,No,TRUE,,
1006,Ron,Swanson,304-762-2467,768 City Parkway,Yes,Yes,TRUE,,
1007,Jeff,  Winger,,1209 South Street,No,No,FALSE,,
1008,Sherlock,Holmes,876|678|3469,98 Clue Drive,N,No,FALSE,,
1009,Gandalf,,N/a,123 Middle Earth,Yes,,FALSE,,
1010,Peter,Parker,123-545-5421,"25th Main Street, New York",Yes,No,TRUE,,
1011,Samwise,Gamgee,,"612 Shire Lane, Shire",Yes,No,TRUE,,
1012,Harry,...Potter,7066950392,2394 Hogwarts Avenue,Y,,TRUE,,
1013,Don,Draper,123-543-2345,2039 Main Street,Yes,N,FALSE,,
1014,Leslie,Knope,876|678|3469,343 City Parkway,Yes,No,FALSE,,
1015,Toby,Flenderson_,304-762-2467,214 HR Avenue,N,No,FALSE,,
1016,Ron,Weasley,123-545-5421,2395 Hogwarts Avenue,No,N,FALSE,,
1017,Michael ,Scott,123/643/9775,"121 Paper Avenue, Pennsylvania",Yes,No,FALSE,,
1018,Clark,Kent,7066950392,3498 Super Lane,Y,,TRUE,,
1019,Creed,Braton,N/a,N/a,N/a,Yes,TRUE,,
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Yes,N,TRUE,,
1020,Anakin,Skywalker,876|678|3469,"910 Tatooine Road, Tatooine",Yes,N,TRUE,,
